pokedex_number,name,attack,defense,height_m,hp,percentage_male,sp_attack,sp_defense,speed,type,weight_kg,generation,is_legendary
390,Chimchar,58,44,0.5,44,88.1,58,44,61,fire,6.2,4,0
391,Monferno,78,52,0.9,64,88.1,78,52,81,fire,22,4,0
392,Infernape,104,71,1.2,76,88.1,104,71,108,fire,55,4,0
393,Piplup,51,53,0.4,53,88.1,61,56,40,water,5.2,4,0
394,Prinplup,66,68,0.8,64,88.1,81,76,50,water,23,4,0
395,Empoleon,86,88,1.7,84,88.1,111,101,60,water,84.5,4,0
396,Starly,55,30,0.3,40,50,30,30,60,normal,2,4,0
397,Staravia,75,50,0.6,55,50,40,40,80,normal,15.5,4,0
398,Staraptor,120,70,1.2,85,50,50,60,100,normal,24.9,4,0
399,Bidoof,45,40,0.5,59,50,35,40,31,normal,20,4,0
400,Bibarel,85,60,1,79,50,55,60,71,normal,31.5,4,0
401,Kricketot,25,41,0.3,37,50,25,41,25,bug,2.2,4,0
402,Kricketune,85,51,1,77,50,55,51,65,bug,25.5,4,0
403,Shinx,65,34,0.5,45,50,40,34,45,electric,9.5,4,0
404,Luxio,85,49,0.9,60,50,60,49,60,electric,30.5,4,0
405,Luxray,120,79,1.4,80,50,95,79,70,electric,42,4,0
406,Budew,30,35,0.2,40,50,50,70,55,grass,1.2,4,0
407,Roserade,70,65,0.9,60,50,125,105,90,grass,14.5,4,0
408,Cranidos,125,40,0.9,67,88.1,30,30,58,rock,31.5,4,0
409,Rampardos,165,60,1.6,97,88.1,65,50,58,rock,102.5,4,0
410,Shieldon,42,118,0.5,30,88.1,42,88,30,rock,57,4,0
411,Bastiodon,52,168,1.3,60,88.1,47,138,30,rock,149.5,4,0
412,Burmy,29,45,0.2,40,50,29,45,36,bug,3.4,4,0
413,Wormadam,69,95,0.5,60,0,69,95,36,bug,6.5,4,0
414,Mothim,94,50,0.9,70,100,94,50,66,bug,23.3,4,0
415,Combee,30,42,0.3,30,88.1,30,42,70,bug,5.5,4,0
416,Vespiquen,80,102,1.2,70,0,80,102,40,bug,38.5,4,0
417,Pachirisu,45,70,0.4,60,50,45,90,95,electric,3.9,4,0
418,Buizel,65,35,0.7,55,50,60,30,85,water,29.5,4,0
419,Floatzel,105,55,1.1,85,50,85,50,115,water,33.5,4,0
420,Cherubi,35,45,0.4,45,50,62,53,35,grass,3.3,4,0
421,Cherrim,60,70,0.5,70,50,87,78,85,grass,9.3,4,0
422,Shellos,48,48,0.3,76,50,57,62,34,water,6.3,4,0
423,Gastrodon,83,68,0.9,111,50,92,82,39,water,29.9,4,0
424,Ambipom,100,66,1.2,75,50,60,66,115,normal,20.3,4,0
425,Drifloon,50,34,0.4,90,50,60,44,70,ghost,1.2,4,0
426,Drifblim,80,44,1.2,150,50,90,54,80,ghost,15,4,0
427,Buneary,66,44,0.4,55,50,44,56,85,normal,5.5,4,0
428,Lopunny,136,94,1.2,65,50,54,96,135,normal,33.3,4,0
429,Mismagius,60,60,0.9,60,50,105,105,105,ghost,4.4,4,0
430,Honchkrow,125,52,0.9,100,50,105,52,71,dark,27.3,4,0
431,Glameow,55,42,0.5,49,24.6,42,37,85,normal,3.9,4,0
432,Purugly,82,64,1,71,24.6,64,59,112,normal,43.8,4,0
433,Chingling,30,50,0.2,45,50,65,50,45,psychic,0.6,4,0
434,Stunky,63,47,0.4,63,50,41,41,74,poison,19.2,4,0
435,Skuntank,93,67,1,103,50,71,61,84,poison,38,4,0
436,Bronzor,24,86,0.5,57,,24,86,23,steel,60.5,4,0
437,Bronzong,89,116,1.3,67,,79,116,33,steel,187,4,0
438,Bonsly,80,95,0.5,50,50,10,45,10,rock,15,4,0
439,Mime Jr.,25,45,0.6,20,50,70,90,60,psychic,13,4,0
440,Happiny,5,5,0.6,100,0,15,65,30,normal,24.4,4,0
441,Chatot,65,45,0.5,76,50,92,42,91,normal,1.9,4,0
442,Spiritomb,92,108,1,50,50,92,108,35,ghost,108,4,0
443,Gible,70,45,0.7,58,50,40,45,42,dragon,20.5,4,0
444,Gabite,90,65,1.4,68,50,50,55,82,dragon,56,4,0
445,Garchomp,170,115,1.9,108,50,120,95,92,dragon,95,4,0
446,Munchlax,85,40,0.6,135,88.1,40,85,5,normal,105,4,0
447,Riolu,70,40,0.7,40,88.1,35,40,60,fighting,20.2,4,0
448,Lucario,145,88,1.2,70,88.1,140,70,112,fighting,54,4,0
449,Hippopotas,72,78,0.8,68,50,38,42,32,ground,49.5,4,0
450,Hippowdon,112,118,2,108,50,68,72,47,ground,300,4,0
451,Skorupi,50,90,0.8,40,50,30,55,65,poison,12,4,0
452,Drapion,90,110,1.3,70,50,60,75,95,poison,61.5,4,0
453,Croagunk,61,40,0.7,48,50,61,40,50,poison,23,4,0
454,Toxicroak,106,65,1.3,83,50,86,65,85,poison,44.4,4,0
455,Carnivine,100,72,1.4,74,50,90,72,46,grass,27,4,0
456,Finneon,49,56,0.4,49,50,49,61,66,water,7,4,0
457,Lumineon,69,76,1.2,69,50,69,86,91,water,24,4,0
458,Mantyke,20,50,1,45,50,60,120,50,water,65,4,0
459,Snover,62,50,1,60,50,62,60,40,grass,50.5,4,0
460,Abomasnow,132,105,2.2,90,50,132,105,30,grass,135.5,4,0
461,Weavile,120,65,1.1,70,50,45,85,125,dark,34,4,0
462,Magnezone,70,115,1.2,70,,130,90,60,electric,180,4,0
463,Lickilicky,85,95,1.7,110,50,80,95,50,normal,140,4,0
464,Rhyperior,140,130,2.4,115,50,55,55,40,ground,282.8,4,0
465,Tangrowth,100,125,2,100,50,110,50,50,grass,128.6,4,0
466,Electivire,123,67,1.8,75,75.4,95,85,95,electric,138.6,4,0
467,Magmortar,95,67,1.6,75,75.4,125,95,83,fire,68,4,0
468,Togekiss,50,95,1.5,85,88.1,120,115,80,fairy,38,4,0
469,Yanmega,76,86,1.9,86,50,116,56,95,bug,51.5,4,0
470,Leafeon,110,130,1,65,88.1,60,65,95,grass,25.5,4,0
471,Glaceon,60,110,0.8,65,88.1,130,95,65,ice,25.9,4,0
472,Gliscor,95,125,2,75,50,45,75,95,ground,42.5,4,0
473,Mamoswine,130,80,2.5,110,50,70,60,80,ice,291,4,0
474,Porygon-Z,80,70,0.9,85,,135,75,90,normal,34,4,0
475,Gallade,165,95,1.6,68,100,65,115,110,psychic,52,4,0
476,Probopass,55,145,1.4,60,50,75,150,40,rock,340,4,0
477,Dusknoir,100,135,2.2,45,50,65,135,45,ghost,106.6,4,0
478,Froslass,80,70,1.3,70,0,80,70,110,ice,26.6,4,0
479,Rotom,65,107,0.3,50,,105,107,86,electric,0.3,4,0
480,Uxie,75,130,0.3,75,,75,130,95,psychic,0.3,4,1
481,Mesprit,105,105,0.3,80,,105,105,80,psychic,0.3,4,1
482,Azelf,125,70,0.3,75,,125,70,115,psychic,0.3,4,1
483,Dialga,120,120,5.4,100,,150,100,90,steel,683,4,1
484,Palkia,120,100,4.2,90,,150,120,100,water,336,4,1
485,Heatran,90,106,1.7,91,50,130,106,77,fire,430,4,1
486,Regigigas,160,110,3.7,110,,80,110,100,normal,420,4,1
487,Giratina,120,100,4.5,150,,120,100,90,ghost,750,4,1
488,Cresselia,70,120,1.5,120,0,75,130,85,psychic,85.6,4,1
489,Phione,80,80,0.4,80,,80,80,80,water,3.1,4,0
490,Manaphy,100,100,0.3,100,,100,100,100,water,1.4,4,1
491,Darkrai,90,90,1.5,70,,135,90,125,dark,50.5,4,1
492,Shaymin,103,75,0.2,100,,120,75,127,grass,2.1,4,1
493,Arceus,120,120,3.2,120,,120,120,120,normal,320,4,1
494,Victini,100,100,0.4,100,,100,100,100,psychic,4,5,1
495,Snivy,45,55,0.6,45,88.1,45,55,63,grass,8.1,5,0
496,Servine,60,75,0.8,60,88.1,60,75,83,grass,16,5,0
497,Serperior,75,95,3.3,75,88.1,75,95,113,grass,63,5,0
498,Tepig,63,45,0.5,65,88.1,45,45,45,fire,9.9,5,0
499,Pignite,93,55,1,90,88.1,70,55,55,fire,55.5,5,0
500,Emboar,123,65,1.6,110,88.1,100,65,65,fire,150,5,0
501,Oshawott,55,45,0.5,55,88.1,63,45,45,water,5.9,5,0
502,Dewott,75,60,0.8,75,88.1,83,60,60,water,24.5,5,0
503,Samurott,100,85,1.5,95,88.1,108,70,70,water,94.6,5,0
504,Patrat,55,39,0.5,45,50,35,39,42,normal,11.6,5,0
505,Watchog,85,69,1.1,60,50,60,69,77,normal,27,5,0
506,Lillipup,60,45,0.4,45,50,25,45,55,normal,4.1,5,0
507,Herdier,80,65,0.9,65,50,35,65,60,normal,14.7,5,0
508,Stoutland,110,90,1.2,85,50,45,90,80,normal,61,5,0
509,Purrloin,50,37,0.4,41,50,50,37,66,dark,10.1,5,0
510,Liepard,88,50,1.1,64,50,88,50,106,dark,37.5,5,0
511,Pansage,53,48,0.6,50,88.1,53,48,64,grass,10.5,5,0
512,Simisage,98,63,1.1,75,88.1,98,63,101,grass,30.5,5,0
513,Pansear,53,48,0.6,50,88.1,53,48,64,fire,11,5,0
514,Simisear,98,63,1,75,88.1,98,63,101,fire,28,5,0
515,Panpour,53,48,0.6,50,88.1,53,48,64,water,13.5,5,0
516,Simipour,98,63,1,75,88.1,98,63,101,water,29,5,0
517,Munna,25,45,0.6,76,50,67,55,24,psychic,23.3,5,0
518,Musharna,55,85,1.1,116,50,107,95,29,psychic,60.5,5,0
519,Pidove,55,50,0.3,50,50,36,30,43,normal,2.1,5,0
520,Tranquill,77,62,0.6,62,50,50,42,65,normal,15,5,0
521,Unfezant,115,80,1.2,80,50,65,55,93,normal,29,5,0
522,Blitzle,60,32,0.8,45,50,50,32,76,electric,29.8,5,0
523,Zebstrika,100,63,1.6,75,50,80,63,116,electric,79.5,5,0
524,Roggenrola,75,85,0.4,55,50,25,25,15,rock,18,5,0
525,Boldore,105,105,0.9,70,50,50,40,20,rock,102,5,0
526,Gigalith,135,130,1.7,85,50,60,80,25,rock,260,5,0
527,Woobat,45,43,0.4,65,50,55,43,72,psychic,2.1,5,0
528,Swoobat,57,55,0.9,67,50,77,55,114,psychic,10.5,5,0
529,Drilbur,85,40,0.3,60,50,30,45,68,ground,8.5,5,0
530,Excadrill,135,60,0.7,110,50,50,65,88,ground,40.4,5,0
531,Audino,60,126,1.1,103,50,80,126,50,normal,31,5,0
532,Timburr,80,55,0.6,75,75.4,25,35,35,fighting,12.5,5,0
533,Gurdurr,105,85,1.2,85,75.4,40,50,40,fighting,40,5,0
534,Conkeldurr,140,95,1.4,105,75.4,55,65,45,fighting,87,5,0
535,Tympole,50,40,0.5,50,50,50,40,64,water,4.5,5,0
536,Palpitoad,65,55,0.8,75,50,65,55,69,water,17,5,0
537,Seismitoad,95,75,1.5,105,50,85,75,74,water,62,5,0
538,Throh,100,85,1.3,120,100,30,85,45,fighting,55.5,5,0
539,Sawk,125,75,1.4,75,100,30,75,85,fighting,51,5,0
540,Sewaddle,53,70,0.3,45,50,40,60,42,bug,2.5,5,0
541,Swadloon,63,90,0.5,55,50,50,80,42,bug,7.3,5,0
542,Leavanny,103,80,1.2,75,50,70,80,92,bug,20.5,5,0
543,Venipede,45,59,0.4,30,50,30,39,57,bug,5.3,5,0
544,Whirlipede,55,99,1.2,40,50,40,79,47,bug,58.5,5,0
545,Scolipede,100,89,2.5,60,50,55,69,112,bug,200.5,5,0
546,Cottonee,27,60,0.3,40,50,37,50,66,grass,0.6,5,0
547,Whimsicott,67,85,0.7,60,50,77,75,116,grass,6.6,5,0
548,Petilil,35,50,0.5,45,0,70,50,30,grass,6.6,5,0
549,Lilligant,60,75,1.1,70,0,110,75,90,grass,16.3,5,0
550,Basculin,92,65,1,70,50,80,55,98,water,18,5,0
551,Sandile,72,35,0.7,50,50,35,35,65,ground,15.2,5,0
552,Krokorok,82,45,1,60,50,45,45,74,ground,33.4,5,0
553,Krookodile,117,80,1.5,95,50,65,70,92,ground,96.3,5,0
554,Darumaka,90,45,0.6,70,50,15,45,50,fire,37.5,5,0
555,Darmanitan,30,105,1.3,105,50,140,105,55,fire,92.9,5,0
556,Maractus,86,67,1,75,50,106,67,60,grass,28,5,0
557,Dwebble,65,85,0.3,50,50,35,35,55,bug,14.5,5,0
558,Crustle,105,125,1.4,70,50,65,75,45,bug,200,5,0
559,Scraggy,75,70,0.6,50,50,35,70,48,dark,11.8,5,0
560,Scrafty,90,115,1.1,65,50,45,115,58,dark,30,5,0
561,Sigilyph,58,80,1.4,72,50,103,80,97,psychic,14,5,0
562,Yamask,30,85,0.5,38,50,55,65,30,ghost,1.5,5,0
563,Cofagrigus,50,145,1.7,58,50,95,105,30,ghost,76.5,5,0
564,Tirtouga,78,103,0.7,54,88.1,53,45,22,water,16.5,5,0
565,Carracosta,108,133,1.2,74,88.1,83,65,32,water,81,5,0
566,Archen,112,45,0.5,55,88.1,74,45,70,rock,9.5,5,0
567,Archeops,140,65,1.4,75,88.1,112,65,110,rock,32,5,0
568,Trubbish,50,62,0.6,50,50,40,62,65,poison,31,5,0
569,Garbodor,95,82,1.9,80,50,60,82,75,poison,107.3,5,0
570,Zorua,65,40,0.7,40,88.1,80,40,65,dark,12.5,5,0
571,Zoroark,105,60,1.6,60,88.1,120,60,105,dark,81.1,5,0
572,Minccino,50,40,0.4,55,24.6,40,40,75,normal,5.8,5,0
573,Cinccino,95,60,0.5,75,24.6,65,60,115,normal,7.5,5,0
574,Gothita,30,50,0.4,45,24.6,55,65,45,psychic,5.8,5,0
575,Gothorita,45,70,0.7,60,24.6,75,85,55,psychic,18,5,0
576,Gothitelle,55,95,1.5,70,24.6,95,110,65,psychic,44,5,0
577,Solosis,30,40,0.3,45,50,105,50,20,psychic,1,5,0
578,Duosion,40,50,0.6,65,50,125,60,30,psychic,8,5,0
579,Reuniclus,65,75,1,110,50,125,85,30,psychic,20.1,5,0
580,Ducklett,44,50,0.5,62,50,44,50,55,water,5.5,5,0
581,Swanna,87,63,1.3,75,50,87,63,98,water,24.2,5,0
582,Vanillite,50,50,0.4,36,50,65,60,44,ice,5.7,5,0
583,Vanillish,65,65,1.1,51,50,80,75,59,ice,41,5,0
584,Vanilluxe,95,85,1.3,71,50,110,95,79,ice,57.5,5,0
585,Deerling,60,50,0.6,60,50,40,50,75,normal,19.5,5,0
586,Sawsbuck,100,70,1.9,80,50,60,70,95,normal,92.5,5,0
587,Emolga,75,60,0.4,55,50,75,60,103,electric,5,5,0
588,Karrablast,75,45,0.5,50,50,40,45,60,bug,5.9,5,0
589,Escavalier,135,105,1,70,50,60,105,20,bug,33,5,0
590,Foongus,55,45,0.2,69,50,55,55,15,grass,1,5,0
591,Amoonguss,85,70,0.6,114,50,85,80,30,grass,10.5,5,0
592,Frillish,40,50,1.2,55,50,65,85,40,water,33,5,0
593,Jellicent,60,70,2.2,100,50,85,105,60,water,135,5,0
594,Alomomola,75,80,1.2,165,50,40,45,65,water,31.6,5,0
595,Joltik,47,50,0.1,50,50,57,50,65,bug,0.6,5,0
596,Galvantula,77,60,0.8,70,50,97,60,108,bug,14.3,5,0
597,Ferroseed,50,91,0.6,44,50,24,86,10,grass,18.8,5,0
598,Ferrothorn,94,131,1,74,50,54,116,20,grass,110,5,0
599,Klink,55,70,0.3,40,,45,60,30,steel,21,5,0
600,Klang,80,95,0.6,60,,70,85,50,steel,51,5,0
601,Klinklang,100,115,0.6,60,,70,85,90,steel,81,5,0
602,Tynamo,55,40,0.2,35,50,45,40,60,electric,0.3,5,0
603,Eelektrik,85,70,1.2,65,50,75,70,40,electric,22,5,0
604,Eelektross,115,80,2.1,85,50,105,80,50,electric,80.5,5,0
605,Elgyem,55,55,0.5,55,50,85,55,30,psychic,9,5,0
606,Beheeyem,75,75,1,75,50,125,95,40,psychic,34.5,5,0
607,Litwick,30,55,0.3,50,50,65,55,20,ghost,3.1,5,0
608,Lampent,40,60,0.6,60,50,95,60,55,ghost,13,5,0
609,Chandelure,55,90,1,60,50,145,90,80,ghost,34.3,5,0
610,Axew,87,60,0.6,46,50,30,40,57,dragon,18,5,0
611,Fraxure,117,70,1,66,50,40,50,67,dragon,36,5,0
612,Haxorus,147,90,1.8,76,50,60,70,97,dragon,105.5,5,0
613,Cubchoo,70,40,0.5,55,50,60,40,40,ice,8.5,5,0
614,Beartic,130,80,2.6,95,50,70,80,50,ice,260,5,0
615,Cryogonal,50,50,1.1,80,,95,135,105,ice,148,5,0
616,Shelmet,40,85,0.4,50,50,40,65,25,bug,7.7,5,0
617,Accelgor,70,40,0.8,80,50,100,60,145,bug,25.3,5,0
618,Stunfisk,66,84,0.7,109,50,81,99,32,ground,11,5,0
619,Mienfoo,85,50,0.9,45,50,55,50,65,fighting,20,5,0
620,Mienshao,125,60,1.4,65,50,95,60,105,fighting,35.5,5,0
621,Druddigon,120,90,1.6,77,50,60,90,48,dragon,139,5,0
622,Golett,74,50,1,59,,35,50,35,ground,92,5,0
623,Golurk,124,80,2.8,89,,55,80,55,ground,330,5,0
624,Pawniard,85,70,0.5,45,50,40,40,60,dark,10.2,5,0
625,Bisharp,125,100,1.6,65,50,60,70,70,dark,70,5,0
626,Bouffalant,110,95,1.6,95,50,40,95,55,normal,94.6,5,0
627,Rufflet,83,50,0.5,70,100,37,50,60,normal,10.5,5,0
628,Braviary,123,75,1.5,100,100,57,75,80,normal,41,5,0
629,Vullaby,55,75,0.5,70,0,45,65,60,dark,9,5,0
630,Mandibuzz,65,105,1.2,110,0,55,95,80,dark,39.5,5,0
631,Heatmor,97,66,1.4,85,50,105,66,65,fire,58,5,0
632,Durant,109,112,0.3,58,50,48,48,109,bug,33,5,0
633,Deino,65,50,0.8,52,50,45,50,38,dark,17.3,5,0
634,Zweilous,85,70,1.4,72,50,65,70,58,dark,50,5,0
635,Hydreigon,105,90,1.8,92,50,125,90,98,dark,160,5,0
636,Larvesta,85,55,1.1,55,50,50,55,60,bug,28.8,5,0
637,Volcarona,60,65,1.6,85,50,135,105,100,bug,46,5,0
638,Cobalion,90,129,2.1,91,,90,72,108,steel,250,5,1
639,Terrakion,129,90,1.9,91,,72,90,108,rock,260,5,1
640,Virizion,90,72,2,91,,90,129,108,grass,200,5,1
641,Tornadus,100,80,1.5,79,100,110,90,121,flying,63,5,1
642,Thundurus,105,70,1.5,79,100,145,80,101,electric,61,5,1
643,Reshiram,120,100,3.2,100,,150,120,90,dragon,330,5,1
644,Zekrom,150,120,2.9,100,,120,100,90,dragon,345,5,1
645,Landorus,145,90,1.5,89,100,105,80,91,ground,68,5,1
646,Kyurem,120,90,3,125,,170,100,95,dragon,325,5,1
647,Keldeo,72,90,1.4,91,,129,90,108,water,48.5,5,1
648,Meloetta,128,90,0.6,100,,77,77,128,normal,6.5,5,1
649,Genesect,120,95,1.5,71,,120,95,99,bug,82.5,5,1
650,Chespin,61,65,0.4,56,88.1,48,45,38,grass,9,6,0
651,Quilladin,78,95,0.7,61,88.1,56,58,57,grass,29,6,0
652,Chesnaught,107,122,1.6,88,88.1,74,75,64,grass,90,6,0
653,Fennekin,45,40,0.4,40,88.1,62,60,60,fire,9.4,6,0
654,Braixen,59,58,1,59,88.1,90,70,73,fire,14.5,6,0
655,Delphox,69,72,1.5,75,88.1,114,100,104,fire,39,6,0
656,Froakie,56,40,0.3,41,88.1,62,44,71,water,7,6,0
657,Frogadier,63,52,0.6,54,88.1,83,56,97,water,10.9,6,0
658,Greninja,145,67,1.5,72,88.1,153,71,132,water,40,6,0
659,Bunnelby,36,38,0.4,38,50,32,36,57,normal,5,6,0
660,Diggersby,56,77,1,85,50,50,77,78,normal,42.4,6,0
661,Fletchling,50,43,0.3,45,50,40,38,62,normal,1.7,6,0
662,Fletchinder,73,55,0.7,62,50,56,52,84,fire,16,6,0
663,Talonflame,81,71,1.2,78,50,74,69,126,fire,24.5,6,0
664,Scatterbug,35,40,0.3,38,50,27,25,35,bug,2.5,6,0
665,Spewpa,22,60,0.3,45,50,27,30,29,bug,8.4,6,0
666,Vivillon,52,50,1.2,80,50,90,50,89,bug,17,6,0
667,Litleo,50,58,0.6,62,11.2,73,54,72,fire,13.5,6,0
668,Pyroar,68,72,1.5,86,11.2,109,66,106,fire,81.5,6,0
669,Flabébé,38,39,0.1,44,0,61,79,42,fairy,0.1,6,0
670,Floette,65,67,0.2,74,0,125,128,92,fairy,0.9,6,0
671,Florges,65,68,1.1,78,0,112,154,75,fairy,10,6,0
672,Skiddo,65,48,0.9,66,50,62,57,52,grass,31,6,0
673,Gogoat,100,62,1.7,123,50,97,81,68,grass,91,6,0
674,Pancham,82,62,0.6,67,50,46,48,43,fighting,8,6,0
675,Pangoro,124,78,2.1,95,50,69,71,58,fighting,136,6,0
676,Furfrou,80,60,1.2,75,50,65,90,102,normal,28,6,0
677,Espurr,48,54,0.3,62,50,63,60,68,psychic,3.5,6,0
678,Meowstic,48,76,0.6,74,50,83,81,104,psychic,8.5,6,0
679,Honedge,80,100,0.8,45,50,35,37,28,steel,2,6,0
680,Doublade,110,150,0.8,59,50,45,49,35,steel,4.5,6,0
681,Aegislash,150,50,1.7,60,50,150,50,60,steel,53,6,0
682,Spritzee,52,60,0.2,78,50,63,65,23,fairy,0.5,6,0
683,Aromatisse,72,72,0.8,101,50,99,89,29,fairy,15.5,6,0
684,Swirlix,48,66,0.4,62,50,59,57,49,fairy,3.5,6,0
685,Slurpuff,80,86,0.8,82,50,85,75,72,fairy,5,6,0
686,Inkay,54,53,0.4,53,50,37,46,45,dark,3.5,6,0
687,Malamar,92,88,1.5,86,50,68,75,73,dark,47,6,0
688,Binacle,52,67,0.5,42,50,39,56,50,rock,31,6,0
689,Barbaracle,105,115,1.3,72,50,54,86,68,rock,96,6,0
690,Skrelp,60,60,0.5,50,50,60,60,30,poison,7.3,6,0
691,Dragalge,75,90,1.8,65,50,97,123,44,poison,81.5,6,0
692,Clauncher,53,62,0.5,50,50,58,63,44,water,8.3,6,0
693,Clawitzer,73,88,1.3,71,50,120,89,59,water,35.3,6,0
694,Helioptile,38,33,0.5,44,50,61,43,70,electric,6,6,0
695,Heliolisk,55,52,1,62,50,109,94,109,electric,21,6,0
696,Tyrunt,89,77,0.8,58,88.1,45,45,48,rock,26,6,0
697,Tyrantrum,121,119,2.5,82,88.1,69,59,71,rock,270,6,0
698,Amaura,59,50,1.3,77,88.1,67,63,46,rock,25.2,6,0
699,Aurorus,77,72,2.7,123,88.1,99,92,58,rock,225,6,0
700,Sylveon,65,65,1,95,88.1,110,130,60,fairy,23.5,6,0
701,Hawlucha,92,75,0.8,78,50,74,63,118,fighting,21.5,6,0
702,Dedenne,58,57,0.2,67,50,81,67,101,electric,2.2,6,0
703,Carbink,50,150,0.3,50,,50,150,50,rock,5.7,6,0
704,Goomy,50,35,0.3,45,50,55,75,40,dragon,2.8,6,0
705,Sliggoo,75,53,0.8,68,50,83,113,60,dragon,17.5,6,0
706,Goodra,100,70,2,90,50,110,150,80,dragon,150.5,6,0
707,Klefki,80,91,0.2,57,50,80,87,75,steel,3,6,0
708,Phantump,70,48,0.4,43,50,50,60,38,ghost,7,6,0
709,Trevenant,110,76,1.5,85,50,65,82,56,ghost,71,6,0
710,Pumpkaboo,66,70,0.8,59,50,44,55,41,ghost,15,6,0
711,Gourgeist,100,122,1.7,85,50,58,75,54,ghost,39,6,0
712,Bergmite,69,85,1,55,50,32,35,28,ice,99.5,6,0
713,Avalugg,117,184,2,95,50,44,46,28,ice,505,6,0
714,Noibat,30,35,0.5,40,50,45,40,55,flying,8,6,0
715,Noivern,70,80,1.5,85,50,97,80,123,flying,85,6,0
716,Xerneas,131,95,3,126,,131,98,99,fairy,215,6,1
717,Yveltal,131,95,5.8,126,,131,98,99,dark,203,6,1
718,Zygarde,100,121,5,216,,91,95,85,dragon,284.6,6,1
719,Diancie,160,110,0.7,50,,160,110,110,rock,8.8,6,1
720,Hoopa,160,60,,80,,170,130,80,psychic,,6,1
721,Volcanion,110,120,1.7,80,,130,90,70,fire,195,6,1
722,Rowlet,55,55,0.3,68,88.1,50,50,42,grass,1.5,7,0
723,Dartrix,75,75,0.7,78,88.1,70,70,52,grass,16,7,0
724,Decidueye,107,75,1.6,78,88.1,100,100,70,grass,36.6,7,0
725,Litten,65,40,0.4,45,88.1,60,40,70,fire,4.3,7,0
726,Torracat,85,50,0.7,65,88.1,80,50,90,fire,25,7,0
727,Incineroar,115,90,1.8,95,88.1,80,90,60,fire,83,7,0
728,Popplio,54,54,0.4,50,88.1,66,56,40,water,7.5,7,0
729,Brionne,69,69,0.6,60,88.1,91,81,50,water,17.5,7,0
730,Primarina,74,74,1.8,80,88.1,126,116,60,water,44,7,0
731,Pikipek,75,30,0.3,35,50,30,30,65,normal,1.2,7,0
732,Trumbeak,85,50,0.6,55,50,40,50,75,normal,14.8,7,0
733,Toucannon,120,75,1.1,80,50,75,75,60,normal,26,7,0
734,Yungoos,70,30,0.4,48,50,30,30,45,normal,6,7,0
735,Gumshoos,110,60,0.7,88,50,55,60,45,normal,14.2,7,0
736,Grubbin,62,45,0.4,47,50,55,45,46,bug,4.4,7,0
737,Charjabug,82,95,0.5,57,50,55,75,36,bug,10.5,7,0
738,Vikavolt,70,90,1.5,77,50,145,75,43,bug,45,7,0
739,Crabrawler,82,57,0.6,47,50,42,47,63,fighting,7,7,0
740,Crabominable,132,77,1.7,97,50,62,67,43,fighting,180,7,0
741,Oricorio,70,70,0.6,75,24.6,98,70,93,fire,3.4,7,0
742,Cutiefly,45,40,0.1,40,50,55,40,84,bug,0.2,7,0
743,Ribombee,55,60,0.2,60,50,95,70,124,bug,0.5,7,0
744,Rockruff,65,40,0.5,45,50,30,40,60,rock,9.2,7,0
745,Lycanroc,115,75,,85,50,55,75,82,rock,,7,0
746,Wishiwashi,140,130,0.2,45,50,140,135,30,water,0.3,7,0
747,Mareanie,53,62,0.4,50,50,43,52,45,poison,8,7,0
748,Toxapex,63,152,0.7,50,50,53,142,35,poison,14.5,7,0
749,Mudbray,100,70,1,70,50,45,55,45,ground,110,7,0
750,Mudsdale,125,100,2.5,100,50,55,85,35,ground,920,7,0
751,Dewpider,40,52,0.3,38,50,40,72,27,water,4,7,0
752,Araquanid,70,92,1.8,68,50,50,132,42,water,82,7,0
753,Fomantis,55,35,0.3,40,50,50,35,35,grass,1.5,7,0
754,Lurantis,105,90,0.9,70,50,80,90,45,grass,18.5,7,0
755,Morelull,35,55,0.2,40,50,65,75,15,grass,1.5,7,0
756,Shiinotic,45,80,1,60,50,90,100,30,grass,11.5,7,0
757,Salandit,44,40,0.6,48,88.1,71,40,77,poison,4.8,7,0
758,Salazzle,64,60,1.2,68,0,111,60,117,poison,22.2,7,0
759,Stufful,75,50,0.5,70,50,45,50,50,normal,6.8,7,0
760,Bewear,125,80,2.1,120,50,55,60,60,normal,135,7,0
761,Bounsweet,30,38,0.3,42,0,30,38,32,grass,3.2,7,0
762,Steenee,40,48,0.7,52,0,40,48,62,grass,8.2,7,0
763,Tsareena,120,98,1.2,72,0,50,98,72,grass,21.4,7,0
764,Comfey,52,90,0.1,51,24.6,82,110,100,fairy,0.3,7,0
765,Oranguru,60,80,1.5,90,50,90,110,60,normal,76,7,0
766,Passimian,120,90,2,100,50,40,60,80,fighting,82.8,7,0
767,Wimpod,35,40,0.5,25,50,20,30,80,bug,12,7,0
768,Golisopod,125,140,2,75,50,60,90,40,bug,108,7,0
769,Sandygast,55,80,0.5,55,50,70,45,15,ghost,70,7,0
770,Palossand,75,110,1.3,85,50,100,75,35,ghost,250,7,0
771,Pyukumuku,60,130,0.3,55,50,30,130,5,water,1.2,7,0
772,Type: Null,95,95,1.9,95,,95,95,59,normal,120.5,7,0
773,Silvally,95,95,2.3,95,,95,95,95,normal,100.5,7,0
774,Minior,100,60,0.3,60,,100,60,120,rock,40,7,0
775,Komala,115,65,0.4,65,50,75,95,65,normal,19.9,7,0
