JURISDICTION,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,"OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE","MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE","B & E RATE PERCENT CHANGE PER 100,000 PEOPLE","LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE","M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Caroline County,01/01/2016 12:00:00 AM,32294,0,6,5,51,153,487,27,729,0.3,62,8.5,-21.5,667,91.5,2.9,2257.4,0.3,192,-21.5,2065.4,-16.3,0,18.6,15.5,157.9,473.8,1508,83.6,0,-14.2,-66.7,-10.5,10.1,-0.8,50.1
Carroll County,01/01/1975 12:00:00 AM,79066,2,14,18,131,517,1182,88,1952,,165,8.5,,1787,91.5,,2468.8,,208.7,,2260.1,,2.5,17.7,22.8,165.7,653.9,1495,111.3,,,,,,,
Carroll County,01/01/1976 12:00:00 AM,82407,1,12,26,127,562,1116,83,1927,-1.3,166,8.6,0.6,1761,91.4,-1.5,2338.4,-5.3,201.4,-3.5,2137,-5.5,1.2,14.6,31.6,154.1,682,1354.3,100.7,-52,-17.8,38.6,-7,4.3,-9.4,-9.5
Carroll County,01/01/1977 12:00:00 AM,86000,1,9,21,115,535,1055,86,1822,-5.4,146,8,-12,1676,92,-4.8,2118.6,-9.4,169.8,-15.7,1948.8,-8.8,1.2,10.5,24.4,133.7,622.1,1226.7,100,-4.2,-28.1,-22.6,-13.2,-8.8,-9.4,-0.7
Carroll County,01/01/1978 12:00:00 AM,89083,2,13,35,136,515,1180,87,1968,8,186,9.5,27.4,1782,90.5,6.3,2209.2,4.3,208.8,23,2000.4,2.6,2.2,14.6,39.3,152.7,578.1,1324.6,97.7,93.1,39.4,60.9,14.2,-7.1,8,-2.3
Carroll County,01/01/1979 12:00:00 AM,92641,2,17,13,196,717,1558,126,2629,33.6,228,8.7,22.6,2401,91.3,34.7,2837.8,28.5,246.1,17.9,2591.7,29.6,2.2,18.4,14,211.6,774,1681.8,136,-3.8,25.7,-64.3,38.6,33.9,27,39.3
Carroll County,01/01/1980 12:00:00 AM,96080,1,18,28,204,856,1670,101,2878,9.5,251,8.7,10.1,2627,91.3,9.4,2995.4,5.6,261.2,6.1,2734.2,5.5,1,18.7,29.1,212.3,890.9,1738.1,105.1,-51.8,2.1,107.7,0.4,15.1,3.4,-22.7
Carroll County,01/01/1981 12:00:00 AM,97657,3,10,22,222,729,1544,105,2635,-8.4,257,9.8,2.4,2378,90.2,-9.5,2698.2,-9.9,263.2,0.7,2435.1,-10.9,3.1,10.2,22.5,227.3,746.5,1581,107.5,195.2,-45.3,-22.7,7.1,-16.2,-9,2.3
Carroll County,01/01/1982 12:00:00 AM,97748,1,16,24,217,548,1561,92,2459,-6.7,258,10.5,0.4,2201,89.5,-7.4,2515.7,-6.8,263.9,0.3,2251.7,-7.5,1,16.4,24.6,222,560.6,1597,94.1,-66.7,59.9,9,-2.3,-24.9,1,-12.5
Carroll County,01/01/1983 12:00:00 AM,98637,1,18,22,199,527,1347,68,2182,-11.3,240,11,-7,1942,89,-11.8,2212.2,-12.1,243.3,-7.8,1968.8,-12.6,1,18.2,22.3,201.7,534.3,1365.6,68.9,-0.9,11.5,-9.2,-9.1,-4.7,-14.5,-26.8
Carroll County,01/01/1984 12:00:00 AM,102737,0,27,15,202,523,1416,138,2321,6.4,244,10.5,1.7,2077,89.5,7,2259.2,2.1,237.5,-2.4,2021.7,2.7,0,26.3,14.6,196.6,509.1,1378.3,134.3,-100,44,-34.5,-2.5,-4.7,0.9,94.8
Carroll County,01/01/1985 12:00:00 AM,105829,0,28,18,206,453,1308,85,2098,-9.6,252,12,3.3,1846,88,-11.1,1982.4,-12.2,238.1,0.3,1744.3,-13.7,0,26.5,17,194.7,428,1236,80.3,0,0.7,16.5,-1,-15.9,-10.3,-40.2
Carroll County,01/01/1986 12:00:00 AM,107514,0,25,35,272,640,1510,126,2608,24.3,332,12.7,31.7,2276,87.3,23.3,2425.7,22.4,308.8,29.7,2116.9,21.4,0,23.3,32.6,253,595.3,1404.5,117.2,0,-12.1,91.4,30,39.1,13.6,45.9
Carroll County,01/01/1987 12:00:00 AM,113393,5,19,29,262,556,1705,141,2717,4.2,315,11.6,-5.1,2402,88.4,5.5,2396.1,-1.2,277.8,-10,2118.3,0.1,4.4,16.8,25.6,231.1,490.3,1503.6,124.3,440.9,-27.9,-21.4,-8.7,-17.6,7.1,6.1
Carroll County,01/01/1988 12:00:00 AM,118898,4,18,25,246,671,1877,128,2969,9.3,293,9.9,-7,2676,90.1,11.4,2497.1,4.2,246.4,-11.3,2250.7,6.2,3.4,15.1,21,206.9,564.3,1578.7,107.7,-23.7,-9.6,-17.8,-10.5,15.1,5,-13.4
Carroll County,01/01/1989 12:00:00 AM,120554,1,31,41,225,700,2020,126,3144,5.9,298,9.5,1.7,2846,90.5,6.4,2608,4.4,247.2,0.3,2360.8,4.9,0.8,25.7,34,186.6,580.7,1675.6,104.5,-75.3,69.9,61.7,-9.8,2.9,6.1,-2.9
Carroll County,01/01/1990 12:00:00 AM,123372,1,32,23,147,645,1941,137,2926,-6.9,203,6.9,-31.9,2723,93.1,-4.3,2371.7,-9.1,164.5,-33.4,2207.1,-6.5,0.8,25.9,18.6,119.2,522.8,1573.3,111,-2.3,0.9,-45.2,-36.2,-10,-6.1,6.2
Carroll County,01/01/1991 12:00:00 AM,125394,5,24,34,90,623,2465,185,3426,17.1,153,4.5,-24.6,3273,95.5,20.2,2732.2,15.2,122,-25.8,2610.2,18.3,4,19.1,27.1,71.8,496.8,1965.8,147.5,391.9,-26.2,45.4,-39.8,-5,24.9,32.9
Carroll County,01/01/1992 12:00:00 AM,126632,1,33,61,121,744,2406,182,3548,3.6,216,6.1,41.2,3332,93.9,1.8,2801.8,2.5,170.6,39.8,2631.2,0.8,0.8,26.1,48.2,95.6,587.5,1900,143.7,-80.2,36.2,77.7,33.1,18.3,-3.3,-2.6
Carroll County,01/01/1993 12:00:00 AM,131736,4,35,39,117,793,2249,177,3414,-3.8,195,5.7,-9.7,3219,94.3,-3.4,2591.5,-7.5,148,-13.2,2443.5,-7.1,3,26.6,29.6,88.8,602,1707.2,134.4,284.5,2,-38.5,-7.1,2.5,-10.1,-6.5
Carroll County,01/01/1994 12:00:00 AM,132818,2,27,50,178,681,2238,169,3345,-2,257,7.7,31.8,3088,92.3,-4.1,2518.5,-2.8,193.5,30.7,2325,-4.9,1.5,20.3,37.6,134,512.7,1685,127.2,-50.4,-23.5,27.2,50.9,-14.8,-1.3,-5.3
Carroll County,01/01/1995 12:00:00 AM,137424,1,30,47,186,656,2422,184,3526,5.4,264,7.5,2.7,3262,92.5,5.6,2565.8,1.9,192.1,-0.7,2373.7,2.1,0.7,21.8,34.2,135.3,477.4,1762.4,133.9,-51.7,7.4,-9.2,1,-6.9,4.6,5.2
Carroll County,01/01/1996 12:00:00 AM,138238,1,30,63,268,654,2251,170,3437,-2.5,362,10.5,37.1,3075,89.5,-5.7,2486.3,-3.1,261.9,36.3,2224.4,-6.3,0.7,21.7,45.6,193.9,473.1,1628.4,123,-0.6,-0.6,33.3,43.2,-0.9,-7.6,-8.2
Carroll County,01/01/1997 12:00:00 AM,138835,3,33,58,204,803,2336,170,3607,4.9,298,8.3,-17.7,3309,91.7,7.6,2598,4.5,214.6,-18,2383.4,7.1,2.2,23.8,41.8,146.9,578.4,1682.6,122.4,198.7,9.5,-8.3,-24.2,22.3,3.3,-0.4
Carroll County,01/01/1998 12:00:00 AM,148119,2,38,64,190,805,2480,181,3760,4.2,294,7.8,-1.3,3466,92.2,4.7,2538.5,-2.3,198.5,-7.5,2340,-1.8,1.4,25.7,43.2,128.3,543.5,1674.3,122.2,-37.5,7.9,3.4,-12.7,-6,-0.5,-0.2
Carroll County,01/01/1999 12:00:00 AM,150771,2,33,56,190,676,2251,165,3373,-10.3,281,8.3,-4.4,3092,91.7,-10.8,2237.2,-11.9,186.4,-6.1,2050.8,-12.4,1.3,21.9,37.1,126,448.4,1493,109.4,-1.8,-14.7,-14,-1.8,-17.5,-10.8,-10.4
Carroll County,01/01/2000 12:00:00 AM,150897,1,36,58,338,655,2275,142,3505,3.9,433,12.4,54.1,3072,87.6,-0.6,2322.8,3.8,287,54,2035.8,-0.7,0.7,23.9,38.4,224,434.1,1507.7,94.1,-50,9,3.5,77.7,-3.2,1,-14
Carroll County,01/01/2001 12:00:00 AM,153138,0,33,52,268,620,2020,149,3142,-10.4,353,11.2,-18.5,2789,88.8,-9.2,2051.7,-11.7,230.5,-19.7,1821.2,-10.5,0,21.5,34,175,404.9,1319.1,97.3,-100,-9.7,-11.7,-21.9,-6.7,-12.5,3.4
Carroll County,01/01/2002 12:00:00 AM,155503,5,31,50,305,527,1948,135,3001,-4.5,391,13,10.8,2610,87,-6.4,1929.9,-5.9,251.4,9.1,1678.4,-7.8,3.2,19.9,32.2,196.1,338.9,1252.7,86.8,321.5,-7.5,-5.3,12.1,-16.3,-5,-10.8
Carroll County,01/01/2003 12:00:00 AM,160504,2,42,39,321,526,1907,143,2980,-0.7,404,13.6,3.3,2576,86.4,-1.3,1856.7,-3.8,251.7,0.1,1604.9,-4.4,1.2,26.2,24.3,200,327.7,1188.1,89.1,-61.2,31.3,-24.4,2,-3.3,-5.2,2.6
Carroll County,01/01/2004 12:00:00 AM,164663,0,47,48,320,456,1878,151,2900,-2.7,415,14.3,2.7,2485,85.7,-3.5,1761.2,-5.1,252,0.1,1509.1,-6,0,28.5,29.2,194.3,276.9,1140.5,91.7,-100,9.1,20,-2.8,-15.5,-4,2.9
Carroll County,01/01/2005 12:00:00 AM,167424,2,29,36,333,522,2085,170,3177,9.6,400,12.6,-3.6,2777,87.4,11.8,1897.6,7.7,238.9,-5.2,1658.7,9.9,1.2,17.3,21.5,198.9,311.8,1245.3,101.5,119.5,-39.3,-26.2,2.3,12.6,9.2,10.7
Carroll County,01/01/2006 12:00:00 AM,169003,1,24,56,293,562,2016,127,3079,-3.1,374,12.1,-6.5,2705,87.9,-2.6,1821.9,-4,221.3,-7.4,1600.6,-3.5,0.6,14.2,33.1,173.4,332.5,1192.9,75.1,-50.5,-18,54.1,-12.8,6.7,-4.2,-26
Carroll County,01/01/2007 12:00:00 AM,171843,1,31,38,289,611,2007,133,3110,1,359,11.5,-4,2751,88.5,1.7,1809.8,-0.7,208.9,-5.6,1600.9,0,0.6,18,22.1,168.2,355.6,1167.9,77.4,-1.7,27,-33.3,-3,6.9,-2.1,3
Carroll County,01/01/2008 12:00:00 AM,170347,1,21,40,298,597,2172,124,3253,4.6,360,11.1,0.3,2893,88.9,5.2,1909.6,5.5,211.3,1.2,1698.3,6.1,0.6,12.3,23.5,174.9,350.5,1275,72.8,0.9,-31.7,6.2,4,-1.4,9.2,-5.9
Carroll County,01/01/2009 12:00:00 AM,172300,2,29,47,315,567,2055,102,3117,-4.2,393,12.6,9.2,2724,87.4,-5.8,1809.1,-5.3,228.1,7.9,1581,-6.9,1.2,16.8,27.3,182.8,329.1,1192.7,59.2,97.7,36.5,16.2,4.5,-6.1,-6.5,-18.7
Carroll County,01/01/2010 12:00:00 AM,173047,4,36,40,269,523,2085,104,3061,-1.8,349,11.4,-11.2,2712,88.6,-0.4,1768.9,-2.2,201.7,-11.6,1567.2,-0.9,2.3,20.8,23.1,155.4,302.2,1204.9,60.1,99.1,23.6,-15.3,-15,-8.2,1,1.5
Carroll County,01/01/2011 12:00:00 AM,168719,1,26,40,189,517,1856,94,2723,-11,256,9.4,-26.6,2467,90.6,-9,1613.9,-8.8,151.7,-24.8,1462.2,-6.7,0.6,15.4,23.7,112,306.4,1100.1,55.7,-74.4,-25.9,2.6,-27.9,1.4,-8.7,-7.3
Carroll County,01/01/2012 12:00:00 AM,168903,3,19,47,237,689,1948,84,3027,11.2,306,10.1,19.5,2721,89.9,10.3,1792.2,11,181.2,19.4,1611,10.2,1.8,11.2,27.8,140.3,407.9,1153.3,49.7,199.7,-27,17.4,25.3,33.1,4.8,-10.7
Carroll County,01/01/2013 12:00:00 AM,167529,4,30,33,275,542,1735,65,2684,-11.3,342,12.7,11.8,2342,87.3,-13.9,1602.1,-10.6,204.1,12.7,1398,-13.2,2.4,17.9,19.7,164.2,323.5,1035.6,38.8,34.4,59.2,-29.2,17,-20.7,-10.2,-22
Carroll County,01/01/2014 12:00:00 AM,167966,2,19,42,304,536,1641,49,2593,-3.4,367,14.2,7.3,2226,85.8,-5,1543.8,-3.6,218.5,7,1325.3,-5.2,1.2,11.3,25,181,319.1,977,29.2,-50.1,-36.8,26.9,10.3,-1.4,-5.7,-24.8
Carroll County,01/01/2015 12:00:00 AM,167468,0,33,48,150,414,1578,52,2275,-12.3,231,10.2,-37.1,2044,89.8,-8.2,1358.5,-12,137.9,-36.9,1220.5,-7.9,0,19.7,28.7,89.6,247.2,942.3,31.1,-100,74.2,14.6,-50.5,-22.5,-3.6,6.4
Carroll County,01/01/2016 12:00:00 AM,166742,2,21,55,178,352,1584,65,2257,-0.8,256,11.3,10.8,2001,88.7,-2.1,1353.6,-0.4,153.5,11.3,1200.1,-7.9,1.2,12.6,33,106.8,211.1,950,39,119.9,-36.1,15.1,19.2,-14.6,0.8,25.5
Cecil County,01/01/1975 12:00:00 AM,53726,2,18,27,185,836,1180,145,2393,,232,9.7,,2161,90.3,,4454.1,,431.8,,4022.3,,3.7,33.5,50.3,344.3,1556,2196.3,269.9,,,,,,,
Cecil County,01/01/1976 12:00:00 AM,56320,3,16,32,155,762,1291,158,2417,1,206,8.5,-11.2,2211,91.5,2.3,4291.5,-3.6,365.8,-15.3,3925.8,-2.4,5.3,28.4,56.8,275.2,1353,2292.3,280.5,43.1,-15.2,13.1,-20.1,-13,4.4,3.9
Cecil County,01/01/1977 12:00:00 AM,54901,4,14,22,157,706,1116,138,2157,-10.8,197,9.1,-4.4,1960,90.9,-11.4,3928.9,-8.5,358.8,-1.9,3570.1,-9.1,7.3,25.5,40.1,286,1286,2032.7,251.4,36.8,-10.2,-29.5,3.9,-5,-11.3,-10.4
Cecil County,01/01/1978 12:00:00 AM,55194,1,13,24,141,637,1046,144,2006,-7,179,8.9,-9.1,1827,91.1,-6.8,3634.5,-7.5,324.3,-9.6,3310.1,-7.3,1.8,23.6,43.5,255.5,1154.1,1895.1,260.9,-75.1,-7.6,8.5,-10.7,-10.3,-6.8,3.8
Cecil County,01/01/1979 12:00:00 AM,56486,2,9,28,261,645,1283,175,2403,19.8,300,12.5,67.6,2103,87.5,15.1,4254.2,17.1,531.1,63.8,3723,12.5,3.5,15.9,49.6,462.1,1141.9,2271.4,309.8,95.4,-32.4,14,80.9,-1.1,19.9,18.7
Cecil County,01/01/1980 12:00:00 AM,60113,6,9,29,245,653,1305,143,2390,-0.5,289,12.1,-3.7,2101,87.9,-0.1,3975.8,-6.5,480.8,-9.5,3495.1,-6.1,10,15,48.2,407.6,1086.3,2170.9,237.9,181.9,-6,-2.7,-11.8,-4.9,-4.4,-23.2
Cecil County,01/01/1981 12:00:00 AM,61099,4,11,25,226,803,1328,175,2572,7.6,266,10.3,-8,2306,89.7,9.8,4209.6,5.9,435.4,-9.4,3774.2,8,6.5,18,40.9,369.9,1314.3,2173.5,286.4,-34.4,20.2,-15.2,-9.2,21,0.1,20.4
Cecil County,01/01/1982 12:00:00 AM,61157,1,12,25,212,603,1386,134,2373,-7.7,250,10.5,-6,2123,89.5,-7.9,3880.2,-7.8,408.8,-6.1,3471.4,-8,1.6,19.6,40.9,346.6,986,2266.3,219.1,-75,9,-0.1,-6.3,-25,4.3,-23.5
Cecil County,01/01/1983 12:00:00 AM,61713,1,13,23,236,535,1277,146,2231,-6,273,12.2,9.2,1958,87.8,-7.8,3615.1,-6.8,442.4,8.2,3172.8,-8.6,1.6,21.1,37.3,382.4,866.9,2069.3,236.6,-0.9,7.4,-8.8,10.3,-12.1,-8.7,8
Cecil County,01/01/1984 12:00:00 AM,64216,2,18,13,262,484,1135,154,2068,-7.3,295,14.3,8.1,1773,85.7,-9.4,3220.4,-10.9,459.4,3.8,2761,-13,3.1,28,20.2,408,753.7,1767.5,239.8,92.2,33.1,-45.7,6.7,-13.1,-14.6,1.4
Cecil County,01/01/1985 12:00:00 AM,66143,3,30,22,285,513,1070,176,2099,1.5,340,16.2,15.3,1759,83.8,-0.8,3173.4,-1.5,514,11.9,2659.4,-3.7,4.5,45.4,33.3,430.9,775.6,1617.7,266.1,45.6,61.8,64.3,5.6,2.9,-8.5,11
Cecil County,01/01/1986 12:00:00 AM,67238,1,22,15,298,543,1160,129,2168,3.3,336,15.5,-1.2,1832,84.5,4.2,3224.4,1.6,499.7,-2.8,2724.6,2.5,1.5,32.7,22.3,443.2,807.6,1725.2,191.9,-67.2,-27.9,-32.9,2.9,4.1,6.6,-27.9
Cecil County,01/01/1987 12:00:00 AM,68584,4,18,31,304,697,1134,177,2365,9.1,357,15.1,6.3,2008,84.9,9.6,3448.3,6.9,520.5,4.2,2927.8,7.5,5.8,26.2,45.2,443.3,1016.3,1653.4,258.1,292.1,-19.8,102.6,0,25.8,-4.2,34.5
Cecil County,01/01/1988 12:00:00 AM,70868,2,14,31,259,677,1185,170,2338,-1.1,306,13.1,-14.3,2032,86.9,1.2,3299.1,-4.3,431.8,-17,2867.3,-2.1,2.8,19.8,43.7,365.5,955.3,1672.1,239.9,-51.6,-24.7,-3.2,-17.5,-6,1.1,-7.1
Cecil County,01/01/1989 12:00:00 AM,72922,3,19,28,323,635,1285,204,2497,6.8,373,14.9,21.9,2124,85.1,4.5,3424.2,3.8,511.5,18.5,2912.7,1.6,4.1,26.1,38.4,442.9,870.8,1762.2,279.8,45.8,31.9,-12.2,21.2,-8.8,5.4,16.6
Cecil County,01/01/1990 12:00:00 AM,71347,3,20,32,357,727,1458,216,2813,12.7,412,14.6,10.5,2401,85.4,13,3942.7,15.1,577.5,12.9,3365.2,15.5,4.2,28,44.9,500.4,1019,2043.5,302.7,2.2,7.6,16.8,13,17,16,8.2
Cecil County,01/01/1991 12:00:00 AM,72516,2,9,27,356,757,1651,191,2993,6.4,394,13.2,-4.4,2599,86.8,8.2,4127.4,4.7,543.3,-5.9,3584,6.5,2.8,12.4,37.2,490.9,1043.9,2276.7,263.4,-34.4,-55.7,-17,-1.9,2.4,11.4,-13
Cecil County,01/01/1992 12:00:00 AM,73230,0,23,29,319,647,1521,199,2738,-8.5,371,13.6,-5.8,2367,86.4,-8.9,3738.9,-9.4,506.6,-6.8,3232.3,-9.8,0,31.4,39.6,435.6,883.5,2077,271.7,-100,153.1,6.4,-11.3,-15.4,-8.8,3.2
Cecil County,01/01/1993 12:00:00 AM,75723,5,13,33,330,629,1435,167,2612,-4.6,381,14.6,2.7,2231,85.4,-5.7,3449.4,-7.7,503.1,-0.7,2946.3,-8.8,6.6,17.2,43.6,435.8,830.7,1895.1,220.5,660.3,-45.3,10,0,-6,-8.8,-18.8
Cecil County,01/01/1994 12:00:00 AM,76343,2,18,30,306,499,1242,160,2257,-13.6,356,15.8,-6.6,1901,84.2,-14.8,2956.4,-14.3,466.3,-7.3,2490.1,-15.5,2.6,23.6,39.3,400.8,653.6,1626.9,209.6,-60.3,37.3,-9.8,-8,-21.3,-14.2,-5
Cecil County,01/01/1995 12:00:00 AM,77589,2,11,31,287,555,1620,176,2682,18.8,331,12.3,-7,2351,87.7,23.7,3456.7,16.9,426.6,-8.5,3030.1,21.7,2.6,14.2,40,369.9,715.3,2087.9,226.8,-1.6,-39.9,1.7,-7.7,9.4,28.3,8.2
Cecil County,01/01/1996 12:00:00 AM,78048,2,13,37,321,587,1444,140,2544,-5.1,373,14.7,12.7,2171,85.3,-7.7,3259.5,-5.7,477.9,12,2781.6,-8.2,2.6,16.7,47.4,411.3,752.1,1850.1,179.4,-0.6,17.5,18.7,11.2,5.1,-11.4,-20.9
Cecil County,01/01/1997 12:00:00 AM,78384,1,16,56,327,607,1524,173,2704,6.3,400,14.8,7.2,2304,85.2,6.1,3449.7,5.8,510.3,6.8,2939.4,5.7,1.3,20.4,71.4,417.2,774.4,1944.3,220.7,-50.2,22.5,50.7,1.4,3,5.1,23
Cecil County,01/01/1998 12:00:00 AM,81418,5,28,48,382,763,1657,126,3009,11.3,463,15.4,15.8,2546,84.6,10.5,3695.7,7.1,568.7,11.4,3127.1,6.4,6.1,34.4,59,469.2,937.1,2035.2,154.8,381.4,68.5,-17.5,12.5,21,4.7,-29.9
Cecil County,01/01/1999 12:00:00 AM,83114,0,22,37,395,693,1666,153,2966,-1.4,454,15.3,-1.9,2512,84.7,-1.3,3568.6,-3.4,546.2,-3.9,3022.4,-3.3,0,26.5,44.5,475.3,833.8,2004.5,184.1,-100,-23,-24.5,1.3,-11,-1.5,19
Cecil County,01/01/2000 12:00:00 AM,85951,1,16,50,389,651,1686,194,2987,0.7,456,15.3,0.4,2531,84.7,0.8,3475.2,-2.6,530.5,-2.9,2944.7,-2.6,1.2,18.6,58.2,452.6,757.4,1961.6,225.7,116.3,-29.7,30.7,-4.8,-9.2,-2.1,22.6
Cecil County,01/01/2001 12:00:00 AM,87228,0,20,45,384,571,1771,186,2977,-0.3,449,15.1,-1.5,2528,84.9,-0.1,3412.9,-1.8,514.7,-3,2898.2,-1.6,0,22.9,51.6,440.2,654.6,2030.3,213.2,-100,23.2,-11.3,-2.7,-13.6,3.5,-5.5
Cecil County,01/01/2002 12:00:00 AM,88574,1,15,43,357,614,1827,195,3052,2.5,416,13.6,-7.3,2636,86.4,4.3,3445.7,1,469.7,-8.8,2976,2.7,1.1,16.9,48.5,403.1,693.2,2062.7,220.2,112.9,-26.1,-5.9,-8.4,5.9,1.6,3.2
Cecil County,01/01/2003 12:00:00 AM,91175,4,16,54,381,731,1777,200,3163,3.6,455,14.4,9.4,2708,85.6,2.7,3469.2,0.7,499,6.3,2970.1,-0.2,4.4,17.5,59.2,417.9,801.8,1949,219.4,288.6,3.6,22,3.7,15.7,-5.5,-0.4
Cecil County,01/01/2004 12:00:00 AM,93573,2,18,60,351,753,1940,264,3388,7.1,431,12.7,-5.3,2957,87.3,9.2,3620.7,4.4,460.6,-7.7,3160.1,6.4,2.1,19.2,64.1,375.1,804.7,2073.2,282.1,-51.3,9.6,8.3,-10.2,0.4,6.4,28.6
Cecil County,01/01/2005 12:00:00 AM,96254,4,11,79,380,836,1820,278,3408,0.6,474,13.9,10,2934,86.1,-0.8,3540.6,-2.2,492.4,6.9,3048.2,-3.5,4.2,11.4,82.1,394.8,868.5,1890.8,288.8,94.4,-40.6,28,5.2,7.9,-8.8,2.4
Cecil County,01/01/2006 12:00:00 AM,98064,4,7,102,377,884,1848,310,3532,3.6,490,13.9,3.4,3042,86.1,3.7,3601.7,1.7,499.7,1.5,3102.1,1.8,4.1,7.1,104,384.4,901.5,1884.5,316.1,-1.8,-37.5,26.7,-2.6,3.8,-0.3,9.5
Cecil County,01/01/2007 12:00:00 AM,100680,5,16,111,436,1001,2141,256,3966,12.3,568,14.3,15.9,3398,85.7,11.7,3939.2,9.4,564.2,12.9,3375,8.8,5,15.9,110.3,433.1,994.2,2126.5,254.3,21.8,122.6,6,12.6,10.3,12.8,-19.6
Cecil County,01/01/2008 12:00:00 AM,100763,8,15,111,406,1187,2314,310,4351,9.7,540,12.4,-4.9,3811,87.6,12.2,4318.1,9.6,535.9,-5,3782.1,12.1,7.9,14.9,110.2,402.9,1178,2296.5,307.7,59.9,-6.3,-0.1,-7,18.5,8,21
Cecil County,01/01/2009 12:00:00 AM,102047,2,23,155,566,977,2439,248,4410,1.4,746,16.9,38.1,3664,83.1,-3.9,4321.5,0.1,731,36.4,3590.5,-5.1,2,22.5,151.9,554.6,957.4,2390.1,243,-75.3,51.4,37.9,37.7,-18.7,4.1,-21
Cecil County,01/01/2010 12:00:00 AM,102940,6,39,152,476,967,2263,195,4098,-7.1,673,16.4,-9.8,3425,83.6,-6.5,3981,-7.9,653.8,-10.6,3327.2,-7.3,5.8,37.9,147.7,462.4,939.4,2198.4,189.4,197.4,68.1,-2.8,-16.6,-1.9,-8,-22.1
Cecil County,01/01/2011 12:00:00 AM,102067,4,28,161,386,898,2368,175,4020,-1.9,579,14.4,-14,3441,85.6,0.5,3938.6,-1.1,567.3,-13.2,3371.3,1.3,3.9,27.4,157.7,378.2,879.8,2320,171.5,-32.8,-27.6,6.8,-18.2,-6.3,5.5,-9.5
Cecil County,01/01/2012 12:00:00 AM,102676,2,38,119,390,870,2365,138,3922,-2.4,549,14,-5.2,3373,86,-2,3819.8,-3,534.7,-5.7,3285.1,-2.6,1.9,37,115.9,379.8,847.3,2303.4,134.4,-50.3,34.9,-26.5,0.4,-3.7,-0.7,-21.6
Cecil County,01/01/2013 12:00:00 AM,102068,5,26,86,319,806,1958,111,3311,-15.6,436,13.2,-20.6,2875,86.8,-14.8,3243.9,-15.1,427.2,-20.1,2816.7,-14.3,4.9,25.5,84.3,312.5,789.7,1918.3,108.8,151.5,-31.2,-27.3,-17.7,-6.8,-16.7,-19.1
Cecil County,01/01/2014 12:00:00 AM,102296,4,38,90,364,614,2186,92,3388,2.3,496,14.6,13.8,2892,85.4,0.6,3312,2.1,484.9,13.5,2827.1,0.4,3.9,37.1,88,355.8,600.2,2136.9,89.9,-20.2,45.8,4.4,13.9,-24,11.4,-17.3
Cecil County,01/01/2015 12:00:00 AM,102376,9,31,77,249,569,1969,123,3027,-10.7,366,12.1,-26.2,2661,87.9,-8,2956.7,-10.7,357.5,-26.3,2599.2,-8.1,8.8,30.3,75.2,243.2,555.8,1923.3,120.1,124.8,-18.5,-14.5,-31.6,-7.4,-10,33.6
Cecil County,01/01/2016 12:00:00 AM,102033,3,25,70,275,526,1927,153,2979,-1.6,373,12.5,1.9,2606,87.5,-2.1,2919.6,-1.3,365.6,2.3,2554.1,-8.1,2.9,24.5,68.6,269.5,515.5,1888.6,150,-66.6,-19.1,-8.8,10.8,-7.2,-1.8,24.8
Charles County,01/01/1975 12:00:00 AM,55740,3,11,34,119,572,1295,131,2165,,167,7.7,,1998,92.3,,3884.1,,299.6,,3584.5,,5.4,19.7,61,213.5,1026.2,2323.3,235,,,,,,,
Charles County,01/01/1976 12:00:00 AM,59758,7,16,32,116,610,1393,100,2274,5,171,7.5,2.4,2103,92.5,5.3,3805.3,-2,286.2,-4.5,3519.2,-1.8,11.7,26.8,53.5,194.1,1020.8,2331.1,167.3,117.6,35.7,-12.2,-9.1,-0.5,0.3,-28.8
