"Respondent","WorkToolsSelect","LanguageRecommendationSelect","EmployerIndustry","WorkAlgorithmsSelect"
2524,"Amazon Web services,Google Cloud Compute,Jupyter notebooks,Python,R,SQL","Python","Academic","Bayesian Techniques,Random Forests,Regression/Logistic Regression"
2525,"Amazon Web services,C/C++,Cloudera,Flume,Hadoop/Hive/Pig,IBM Cognos,IBM SPSS Modeler,IBM SPSS Statistics,IBM Watson / Waton Analytics,Impala,Java,Julia,Jupyter notebooks,KNIME (free version),MATLAB/Octave,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,Minitab,Perl,Python,QlikView,R,RapidMiner (free version),SAP BusinessObjects Predictive Analytics,SAS Base,SAS Enterprise Miner,Spark / MLlib,SQL,Statistica (Quest/Dell-formerly Statsoft),Tableau,Unix shell / awk","R","Technology","Decision Trees,Ensemble Methods,Evolutionary Approaches,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2526,"C/C++,Java,Jupyter notebooks,Python,Spark / MLlib,SQL,TensorFlow","Python","Technology","Bayesian Techniques,CNNs,Neural Networks,Regression/Logistic Regression,RNNs,SVMs"
2527,"Amazon Web services,IBM SPSS Statistics,Python,R,SQL,TensorFlow,TIBCO Spotfire","R","Telecommunications","Bayesian Techniques,Random Forests,Regression/Logistic Regression"
2528,"IBM Cognos,R,SQL","R","Manufacturing",""
2529,"R,SQL","R","Government","Decision Trees,Regression/Logistic Regression"
2530,"R","R","Mix of fields","Decision Trees,Regression/Logistic Regression"
2531,"Cloudera,Hadoop/Hive/Pig,Impala,Jupyter notebooks,Python,R,Spark / MLlib,TIBCO Spotfire,Unix shell / awk","Python","Insurance","Random Forests"
2532,"Amazon Web services,Hadoop/Hive/Pig,Java,Jupyter notebooks,Python,R,Spark / MLlib,SQL,Tableau","R","Retail","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression"
2533,"C/C++,MATLAB/Octave,R","R","Academic","Bayesian Techniques,Regression/Logistic Regression"
2534,"Jupyter notebooks,Python,R,SQL,Tableau","SQL","Financial","Decision Trees,Random Forests,Regression/Logistic Regression"
2535,"R,SAS Base,SAS Enterprise Miner,SQL,Tableau","R","Financial","Decision Trees,Ensemble Methods,Gradient Boosted Machines"
2536,"Jupyter notebooks,Python,SQL,Other","Python","Other","Regression/Logistic Regression,RNNs"
2537,"Hadoop/Hive/Pig,Impala,Java,Microsoft Excel Data Mining,Python,SQL,Tableau,Unix shell / awk","Python","Technology",""
2538,"Amazon Web services,IBM Cognos,KNIME (free version),Mathematica,Python,R,RapidMiner (free version),SQL,Tableau","R","Technology","Bayesian Techniques,Neural Networks,Random Forests,Regression/Logistic Regression"
2539,"Amazon Web services,Cloudera,Hadoop/Hive/Pig,Impala,Java,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,SQL,TensorFlow,Unix shell / awk","Python","Financial","Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2540,"MATLAB/Octave,R,SQL,Statistica (Quest/Dell-formerly Statsoft),Tableau","R","Government","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,SVMs"
2541,"Amazon Web services,Microsoft Excel Data Mining,QlikView,R,RapidMiner (commercial version),SQL","R","Mix of fields","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2542,"Cloudera,Hadoop/Hive/Pig,Impala,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,SQL,Tableau","Python","Hospitality/Entertainment/Sports","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression"
2543,"C/C++,Java,Python,SQL,TensorFlow","Python","Academic","CNNs,Neural Networks,RNNs"
2544,"Julia,Mathematica,MATLAB/Octave,Python,R","R","Academic","Bayesian Techniques"
2545,"C/C++,MATLAB/Octave,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,SQL","Matlab","Other","Bayesian Techniques,Regression/Logistic Regression"
2546,"Amazon Web services,Hadoop/Hive/Pig,Jupyter notebooks,Microsoft Excel Data Mining,NoSQL,Python,Tableau,Unix shell / awk","Python","CRM/Marketing","Regression/Logistic Regression"
2547,"Microsoft Excel Data Mining,R","Matlab","Mix of fields","Decision Trees,Random Forests,Regression/Logistic Regression"
2548,"IBM SPSS Statistics,Microsoft Excel Data Mining,Other","Stata","Non-profit","Bayesian Techniques"
2549,"R,SAS Base,SQL","R","Insurance","Decision Trees,Random Forests,Regression/Logistic Regression"
2550,"IBM SPSS Statistics,Microsoft R Server (Formerly Revolution Analytics),R,SQL","SQL","Academic","Bayesian Techniques,Decision Trees,Regression/Logistic Regression,SVMs"
2551,"Python,R,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Technology","Bayesian Techniques,Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests"
2552,"R,SAS Base,SQL","R","Government","Decision Trees,Random Forests"
2553,"Hadoop/Hive/Pig,Microsoft Azure Machine Learning,Microsoft SQL Server Data Mining,Python,R,SQL,Tableau","SQL","Insurance","Bayesian Techniques,Regression/Logistic Regression"
2554,"Amazon Web services,Google Cloud Compute,Python,R,TensorFlow","Python","Internet-based","CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs"
2555,"Amazon Web services,IBM Watson / Waton Analytics,Jupyter notebooks,Python,TensorFlow,Unix shell / awk","Python","Mix of fields","Bayesian Techniques,CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs"
2556,"Amazon Web services,Jupyter notebooks,Python,R,Stan,Tableau","Python","CRM/Marketing","Bayesian Techniques,Evolutionary Approaches,Regression/Logistic Regression"
2557,"MATLAB/Octave,Microsoft Excel Data Mining,Orange,Python","Matlab","Manufacturing","Decision Trees,Regression/Logistic Regression"
2558,"Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Python,R,SAS Base,SAS Enterprise Miner,SQL,Tableau","R","Retail","Ensemble Methods,Random Forests,Regression/Logistic Regression"
2559,"NoSQL,Orange,Perl,Python,R,SAS Base,Unix shell / awk","R","Technology","Bayesian Techniques,Random Forests,Regression/Logistic Regression"
2560,"Amazon Web services,Jupyter notebooks,Python,R,SQL","Python","Mix of fields","Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression"
2561,"Jupyter notebooks,Python,SQL,Unix shell / awk,Other","Python","Technology","Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2562,"C/C++,IBM SPSS Modeler,Java,Jupyter notebooks,Mathematica,MATLAB/Octave,NoSQL,Perl,Python,R,Spark / MLlib,SQL,TensorFlow,Unix shell / awk","Python","Government","Bayesian Techniques,Markov Logic Networks,Regression/Logistic Regression,SVMs"
2563,"Python,R,SAS Enterprise Miner,SQL","R","Financial","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression,SVMs"
2564,"Amazon Web services,Jupyter notebooks,Python,R,SQL,TensorFlow","Python","Technology","CNNs,Decision Trees,Ensemble Methods,Neural Networks,Random Forests,SVMs"
2565,"Microsoft Excel Data Mining,R,RapidMiner (free version),SAS Base,SQL,Tableau","R","Insurance","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression"
2566,"C/C++,Python,TensorFlow","Python","Technology","Regression/Logistic Regression"
2567,"C/C++,Jupyter notebooks,Perl,Python,R,SAS Base,SQL,Unix shell / awk","Python","Academic","Bayesian Techniques,Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression,SVMs"
2568,"C/C++,MATLAB/Octave,Python,Other","Matlab","Technology","CNNs,Neural Networks,SVMs"
2569,"Jupyter notebooks,Python,R,SAS Base,SQL,Tableau","R","Other","Ensemble Methods,Random Forests,Regression/Logistic Regression"
2570,"Jupyter notebooks,Mathematica,Python,SQL,Unix shell / awk","Python","Academic","Bayesian Techniques,Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression,SVMs"
2571,"KNIME (free version),Microsoft Excel Data Mining,Minitab,R","R","Manufacturing","Random Forests,Regression/Logistic Regression"
2572,"Jupyter notebooks,NoSQL,Python,SQL,Unix shell / awk","Python","Academic","Decision Trees,Ensemble Methods,Evolutionary Approaches,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2573,"C/C++,Hadoop/Hive/Pig,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Python,R,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Manufacturing","CNNs,Decision Trees,Neural Networks,Random Forests,SVMs"
2574,"Python,R,SQL,Unix shell / awk","Python","Government","Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
2575,"Cloudera,Hadoop/Hive/Pig,IBM SPSS Modeler,IBM SPSS Statistics,IBM Watson / Waton Analytics,Java,Jupyter notebooks,Python,R,Spark / MLlib,SQL,Tableau,Unix shell / awk","","Mix of fields","Bayesian Techniques,Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression,SVMs"
2576,"Python,R,SAS Base,SAS Enterprise Miner,SQL","","Telecommunications","Decision Trees,Random Forests,Regression/Logistic Regression"
2577,"Amazon Machine Learning,IBM Watson / Waton Analytics,Java,Jupyter notebooks,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,NoSQL,Python,SQL,TensorFlow,Unix shell / awk","Python","Technology","Bayesian Techniques,Decision Trees,Random Forests"
2578,"Oracle Data Mining/ Oracle R Enterprise,R,SQL","R","Telecommunications","Regression/Logistic Regression"
2579,"MATLAB/Octave,Python,QlikView,R,TensorFlow","R","Technology","Gradient Boosted Machines,Neural Networks"
2580,"Hadoop/Hive/Pig,Java,Jupyter notebooks,NoSQL,Python,R,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Manufacturing","CNNs,Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2581,"MATLAB/Octave,Python,R,RapidMiner (free version),SAS Base,SQL,Tableau","R","Mix of fields","Bayesian Techniques,Decision Trees,Ensemble Methods,Evolutionary Approaches,Gradient Boosted Machines,Markov Logic Networks,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs,Other"
2582,"Jupyter notebooks,KNIME (free version),Microsoft Excel Data Mining,Orange,Python,R,SAP BusinessObjects Predictive Analytics,SQL,Tableau","Python","Other","Bayesian Techniques,CNNs,Decision Trees,Regression/Logistic Regression"
2583,"C/C++,Java,Microsoft R Server (Formerly Revolution Analytics),Python,R,SQL,Stan","R","Financial","Bayesian Techniques,Decision Trees,Regression/Logistic Regression,SVMs"
2584,"Python,R,Spark / MLlib,SQL","Python","CRM/Marketing","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2585,"Amazon Web services,Hadoop/Hive/Pig,IBM SPSS Statistics,Jupyter notebooks,Microsoft SQL Server Data Mining,Python,R,SAS Base,SQL,Tableau,TIBCO Spotfire","Python","Internet-based","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression"
2586,"Hadoop/Hive/Pig,Jupyter notebooks,Python,R,TIBCO Spotfire","Python","Mix of fields","Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2587,"IBM Cognos,NoSQL,Python,R,SAS Enterprise Miner,SQL","R","Academic","Bayesian Techniques"
2588,"Google Cloud Compute,Jupyter notebooks,Python,Spark / MLlib,TensorFlow,Unix shell / awk","Python","Technology","CNNs,Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression"
2589,"Amazon Web services,Jupyter notebooks,Perl,Python,R,SQL,Unix shell / awk","Python","Technology","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression,SVMs"
2590,"Amazon Machine Learning,Amazon Web services,Google Cloud Compute,Hadoop/Hive/Pig,Jupyter notebooks,MATLAB/Octave,NoSQL,Oracle Data Mining/ Oracle R Enterprise,Python,R,Spark / MLlib,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Government","Bayesian Techniques,Regression/Logistic Regression"
2591,"Cloudera,Google Cloud Compute,Hadoop/Hive/Pig,Impala,Java,NoSQL,Spark / MLlib,SQL","Java","Telecommunications","Bayesian Techniques,Decision Trees,Random Forests"
2592,"Amazon Web services,Hadoop/Hive/Pig,IBM Watson / Waton Analytics,Jupyter notebooks,Python,R,SQL,Tableau,Unix shell / awk,Other","R","Telecommunications","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression,Other"
2593,"C/C++,Mathematica,MATLAB/Octave,NoSQL,Python,R,TensorFlow,Unix shell / awk","Matlab","Academic","Bayesian Techniques,CNNs,Ensemble Methods,HMMs,Neural Networks,RNNs,SVMs,Other"
2594,"Cloudera,Hadoop/Hive/Pig,Jupyter notebooks,Python,Spark / MLlib,TensorFlow","Python","Internet-based","Bayesian Techniques,Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression"
2595,"Amazon Web services,Hadoop/Hive/Pig,Java,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,SQL,Unix shell / awk","R","Other","Bayesian Techniques,Gradient Boosted Machines,Random Forests"
2596,"SAS Base,SQL","Python","Insurance","Regression/Logistic Regression"
2597,"Amazon Web services,IBM SPSS Modeler,Jupyter notebooks,Python,QlikView,R,SQL,TensorFlow","Python","Hospitality/Entertainment/Sports","Decision Trees,Regression/Logistic Regression"
2598,"Amazon Web services,Julia,Jupyter notebooks,Mathematica,Microsoft R Server (Formerly Revolution Analytics),R","Julia","Academic","Decision Trees,HMMs,Regression/Logistic Regression"
2599,"IBM Watson / Waton Analytics,Minitab,Python,QlikView,R,SQL","R","Manufacturing","Decision Trees,Random Forests,Regression/Logistic Regression"
2600,"IBM SPSS Modeler,Oracle Data Mining/ Oracle R Enterprise,Python,QlikView,R,SQL,TensorFlow","Python","Financial","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2601,"Amazon Web services,C/C++,Cloudera,Flume,Hadoop/Hive/Pig,IBM SPSS Statistics,Impala,Julia,Mathematica,MATLAB/Octave,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,NoSQL,Python,QlikView,R,SAS Base,SAS Enterprise Miner,SQL,Statistica (Quest/Dell-formerly Statsoft),Tableau,Unix shell / awk","R","Mix of fields","CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Regression/Logistic Regression"
2602,"Hadoop/Hive/Pig,Python,R,Unix shell / awk","Python","Academic","Other"
2603,"Amazon Web services,Hadoop/Hive/Pig,Jupyter notebooks,NoSQL,Python,R,SQL,Tableau,Unix shell / awk","Python","Manufacturing","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Markov Logic Networks,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2604,"Java,Jupyter notebooks,KNIME (free version),Python,R,SQL,Tableau","Python","Technology",""
2605,"Python,R,SAS Enterprise Miner,SQL,Stan,Tableau,Unix shell / awk","R","Government","Bayesian Techniques,Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression"
2606,"IBM SPSS Statistics,Oracle Data Mining/ Oracle R Enterprise,Other","SAS","Government","Bayesian Techniques,Decision Trees,Regression/Logistic Regression"
2607,"Microsoft Excel Data Mining","Python","Academic","Other"
2608,"Jupyter notebooks,Microsoft Excel Data Mining,Python,R,SQL,Tableau","R","Technology","Other"
2609,"C/C++,Cloudera,Hadoop/Hive/Pig,Java,Julia,Jupyter notebooks,KNIME (free version),Mathematica,MATLAB/Octave,Perl,Python,R,Spark / MLlib,SQL,TensorFlow,Unix shell / awk","Python","Academic","Bayesian Techniques,CNNs,Decision Trees,HMMs,Neural Networks,Random Forests,RNNs,SVMs"
2610,"IBM Watson / Waton Analytics,Java,Microsoft SQL Server Data Mining,NoSQL,SQL,Tableau","Java","Academic","HMMs"
2611,"IBM Watson / Waton Analytics,Java,NoSQL,Spark / MLlib,SQL,Unix shell / awk","Python","Technology","Decision Trees,Regression/Logistic Regression"
2612,"Amazon Web services,C/C++,Hadoop/Hive/Pig,Jupyter notebooks,MATLAB/Octave,Microsoft Excel Data Mining,Python,R,Spark / MLlib","Python","Academic","Bayesian Techniques,Evolutionary Approaches,HMMs"
2613,"Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,Perl,Python,R,SAS Base,Spark / MLlib,SQL,Tableau","Python","Insurance","Bayesian Techniques,Random Forests,Regression/Logistic Regression"
2614,"Python,R,SQL","Python","CRM/Marketing","Decision Trees,Regression/Logistic Regression"
2615,"Python,R,SAS Enterprise Miner,Spark / MLlib","Python","Financial","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
2616,"Amazon Machine Learning,Amazon Web services,C/C++,Java,Jupyter notebooks,KNIME (free version),MATLAB/Octave,NoSQL,Python,Spark / MLlib,SQL,TensorFlow,Unix shell / awk","Python","Technology","CNNs,Decision Trees,Neural Networks,Regression/Logistic Regression,SVMs"
2617,"C/C++,MATLAB/Octave,NoSQL,Python,SQL,TensorFlow","Python","Mix of fields","Bayesian Techniques,CNNs,Decision Trees,Ensemble Methods,Evolutionary Approaches,GANs,Gradient Boosted Machines,HMMs,Markov Logic Networks,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
2618,"Jupyter notebooks,Python,R","Python","Insurance","Ensemble Methods,Gradient Boosted Machines"
2619,"Microsoft Excel Data Mining,Python,SQL","SQL","Financial","Decision Trees,Random Forests"
2620,"Jupyter notebooks,Python,R,SQL","SQL","Technology","Other"
2621,"Amazon Web services,Java,SQL","SQL","Mix of fields",""
2622,"Python,R,SQL","R","Academic","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression,SVMs"
2623,"Amazon Web services,Python,SQL,Tableau","Python","Mix of fields","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2624,"Amazon Web services,C/C++,Jupyter notebooks,Python,TensorFlow,Unix shell / awk","Python","Technology","CNNs,Neural Networks,SVMs"
2625,"Jupyter notebooks,Microsoft Excel Data Mining,Python,TensorFlow","Python","Mix of fields","Gradient Boosted Machines,Neural Networks,SVMs"
2626,"Jupyter notebooks,MATLAB/Octave,Python,R,SQL,Tableau","R","Other","Other"
2627,"Jupyter notebooks,MATLAB/Octave,Microsoft Excel Data Mining,Python,SQL,TensorFlow","Python","Technology","Bayesian Techniques,Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2628,"Amazon Web services,Hadoop/Hive/Pig,IBM Watson / Waton Analytics,Microsoft Excel Data Mining,Python,R,SQL,Tableau,Unix shell / awk","Python","Technology","Ensemble Methods,Neural Networks,RNNs"
2629,"C/C++,Jupyter notebooks,Python,TensorFlow,Unix shell / awk","Python","Academic","Decision Trees,Neural Networks,Regression/Logistic Regression,RNNs"
2630,"Jupyter notebooks,MATLAB/Octave,Python,R,Tableau","Python","Academic",""
2631,"Amazon Web services,Cloudera,Hadoop/Hive/Pig,Jupyter notebooks,NoSQL,Python,SQL,TensorFlow,Unix shell / awk","Python","Academic","Bayesian Techniques,CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,SVMs"
2632,"Jupyter notebooks,Python,R,SAS Base,SQL,Other,Other","C/C++/C#","Insurance","Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression"
2633,"Jupyter notebooks,Microsoft Excel Data Mining,Python,R,SQL,TensorFlow","Python","Insurance","Bayesian Techniques,Ensemble Methods,HMMs,Other"
2634,"Jupyter notebooks,Python,R,SQL","Python","Government","Random Forests,Regression/Logistic Regression"
2635,"MATLAB/Octave,Unix shell / awk","Python","Military/Security","Bayesian Techniques,HMMs,Other"
2636,"Jupyter notebooks,R,SAS Base,SAS Enterprise Miner","R","Government","Regression/Logistic Regression"
2637,"Amazon Web services,Java,Python,SQL,TensorFlow","Python","Financial","Decision Trees"
2638,"Amazon Web services,Hadoop/Hive/Pig,Python,R,Spark / MLlib,SQL,Tableau","SQL","Technology","Decision Trees,Random Forests,Regression/Logistic Regression"
2639,"R","R","Mix of fields","Random Forests,Regression/Logistic Regression"
2640,"Amazon Web services,Hadoop/Hive/Pig,Java,Jupyter notebooks,Microsoft Azure Machine Learning,Microsoft R Server (Formerly Revolution Analytics),NoSQL,Python,QlikView,R,Spark / MLlib,SQL,Tableau,TensorFlow","Python","Mix of fields","Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2641,"Amazon Web services,Hadoop/Hive/Pig,Jupyter notebooks,Python,R,SQL,Tableau,Unix shell / awk,Other","SQL","Technology","Random Forests,Regression/Logistic Regression"
2642,"Amazon Web services,Jupyter notebooks,Python,R,SQL","R","Retail","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs,Other"
2643,"Amazon Machine Learning,Amazon Web services,Python,R","R","Mix of fields","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression"
2644,"Jupyter notebooks,MATLAB/Octave,Python,R","R","Technology","Random Forests,Regression/Logistic Regression"
2645,"Amazon Web services,C/C++","C/C++/C#","Technology","Bayesian Techniques,Evolutionary Approaches"
2646,"Amazon Web services,C/C++,IBM SPSS Modeler,Jupyter notebooks,Minitab,NoSQL,Python,RapidMiner (free version),Spark / MLlib,SQL,Tableau,TensorFlow","Python","Technology","Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
2647,"Jupyter notebooks,Python,R,SQL,TensorFlow,Unix shell / awk,Other","Python","Internet-based","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2648,"","Python","Mix of fields",""
2649,"QlikView,R,SAP BusinessObjects Predictive Analytics","C/C++/C#","Technology",""
2650,"C/C++,Flume,Google Cloud Compute,MATLAB/Octave,Python,TensorFlow,Unix shell / awk","Python","Internet-based","Bayesian Techniques,CNNs,Regression/Logistic Regression,RNNs"
2651,"Amazon Web services,Hadoop/Hive/Pig,Jupyter notebooks,Python,SQL,Unix shell / awk,Other","Python","Financial","Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2652,"Amazon Web services,Python,R,SQL,Tableau","R","Non-profit","Regression/Logistic Regression"
2653,"Python,R,SQL,Tableau","Python","Technology","Ensemble Methods"
2654,"Java,Python","Python","Internet-based","Ensemble Methods,Regression/Logistic Regression"
2655,"C/C++,Java,MATLAB/Octave,Microsoft Excel Data Mining,NoSQL,Python","Python","Technology",""
2656,"Amazon Machine Learning,Amazon Web services,Jupyter notebooks,Python,R,SQL,Tableau,Other","Python","Manufacturing","Bayesian Techniques,Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression"
2657,"IBM Watson / Waton Analytics,MATLAB/Octave,Python,TensorFlow","Python","Technology","Bayesian Techniques,Decision Trees,Neural Networks,Random Forests"
2658,"Amazon Web services,Hadoop/Hive/Pig,Java,Python,R","R","Other","Bayesian Techniques"
2659,"Java,Jupyter notebooks,NoSQL,Python,R,SQL","R","Financial","Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,Other"
2660,"SQL,Other","Python","Other","Other"
2661,"Mathematica,Python,R","Python","Military/Security","Other"
2662,"C/C++,R,Stan","R","Financial","Gradient Boosted Machines,Regression/Logistic Regression"
2663,"Jupyter notebooks,Python","Python","Academic",""
2664,"Jupyter notebooks,SQL,TensorFlow","Python","Pharmaceutical","Neural Networks"
2665,"Amazon Web services,Jupyter notebooks,NoSQL,Python,Spark / MLlib,TensorFlow","","Technology","Bayesian Techniques,Decision Trees,Ensemble Methods,Random Forests"
2666,"Amazon Web services,Jupyter notebooks,Python,R,SQL,Tableau","R","Other","Bayesian Techniques,Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression"
2667,"NoSQL,R,RapidMiner (free version)","Python","Retail","Bayesian Techniques"
2668,"C/C++,Julia,Jupyter notebooks,Python,Spark / MLlib,SQL,TensorFlow","Python","Technology","CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests"
2669,"Amazon Web services,Hadoop/Hive/Pig,Java,Spark / MLlib,SQL,Unix shell / awk,Other","Python","Financial","Random Forests,SVMs"
2670,"Jupyter notebooks,KNIME (free version),Microsoft R Server (Formerly Revolution Analytics),NoSQL,Python,QlikView,R,TensorFlow","SQL","Technology","CNNs,Decision Trees,Ensemble Methods,GANs,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2671,"Jupyter notebooks,Python,Spark / MLlib,TensorFlow,Unix shell / awk","Python","Academic","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2672,"Python","","Hospitality/Entertainment/Sports","Bayesian Techniques,Decision Trees"
2673,"C/C++,Jupyter notebooks,MATLAB/Octave,Python,TensorFlow","","Technology","CNNs,SVMs"
2674,"Jupyter notebooks,Python,R,SQL,Tableau,TensorFlow,Other","Python","Other","Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
2675,"Amazon Web services,IBM Watson / Waton Analytics,Jupyter notebooks,MATLAB/Octave,Python,R,SAS Enterprise Miner","R","Technology","Bayesian Techniques,Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2676,"Hadoop/Hive/Pig,R,SQL,Tableau","R","Technology","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression"
2677,"Amazon Web services,Julia,Jupyter notebooks,Microsoft Excel Data Mining,Python,R,Spark / MLlib,SQL,Tableau","Python","Mix of fields","Decision Trees,Neural Networks,Regression/Logistic Regression"
2678,"IBM SPSS Statistics,Mathematica,R,SAS Base","R","Mix of fields","Neural Networks,Regression/Logistic Regression"
2679,"Python,R,SQL","R","Financial","Neural Networks,Random Forests,Regression/Logistic Regression"
2680,"Jupyter notebooks,Microsoft Azure Machine Learning,Python,R","Python","Technology","CNNs,Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
2681,"Jupyter notebooks,Microsoft SQL Server Data Mining,Python,R,SQL","Python","Other","Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
2682,"SAS Base","Python","Financial","Regression/Logistic Regression"
2683,"Cloudera,Hadoop/Hive/Pig,Microsoft SQL Server Data Mining,Spark / MLlib,SQL","Python","Technology","Regression/Logistic Regression"
2684,"Amazon Web services,Jupyter notebooks,Python,SQL,Tableau","Python","Internet-based","Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
2685,"Amazon Web services,Hadoop/Hive/Pig,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,SQL","Python","Technology","Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
2686,"R,SQL","R","Non-profit","Ensemble Methods,Gradient Boosted Machines,Regression/Logistic Regression"
2687,"C/C++,Google Cloud Compute,Julia,Jupyter notebooks,NoSQL,Python,TensorFlow,Unix shell / awk","Julia","Military/Security","CNNs,Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
